x,y,cell_number,p_stat, vel_u, vel_v
0.051020,0.550812,252,101335.832225,4.808819,0.221138
0.051020,0.560906,253,101335.619231,4.845124,0.216878
0.051020,0.571000,254,101335.408895,4.880711,0.212540
0.051020,0.581094,255,101335.201382,4.915566,0.208129
0.051020,0.591188,256,101334.996853,4.949679,0.203650
0.051020,0.601282,257,101334.795465,4.983039,0.199105
0.051020,0.611376,258,101334.597370,5.015636,0.194501
0.051020,0.621470,259,101334.402715,5.047460,0.189840
0.051020,0.631565,260,101334.211644,5.078503,0.185127
0.051020,0.641659,261,101334.024295,5.108757,0.180365
0.051020,0.651753,262,101333.840800,5.138214,0.175558
0.051020,0.661847,263,101333.661290,5.166868,0.170709
0.051020,0.671941,264,101333.485886,5.194711,0.165823
0.051020,0.682035,265,101333.314709,5.221739,0.160901
0.051020,0.692129,266,101333.147872,5.247946,0.155946
0.051020,0.702223,267,101332.985485,5.273328,0.150963
0.051020,0.712318,268,101332.827653,5.297880,0.145953
0.051020,0.722412,269,101332.674474,5.321598,0.140919
0.051020,0.732506,270,101332.526045,5.344479,0.135863
0.051020,0.742600,271,101332.382457,5.366520,0.130787
0.051020,0.752694,272,101332.243795,5.387718,0.125693
0.051020,0.762788,273,101332.110141,5.408070,0.120584
0.051020,0.772882,274,101331.981574,5.427575,0.115461
0.051020,0.782976,275,101331.858167,5.446231,0.110324
0.051020,0.793071,276,101331.739989,5.464036,0.105177
0.051020,0.803165,277,101331.627107,5.480989,0.100019
0.051020,0.813259,278,101331.519582,5.497088,0.094852
0.051020,0.823353,279,101331.417473,5.512333,0.089676
0.051020,0.833447,280,101331.320835,5.526723,0.084491
0.051020,0.843541,281,101331.229720,5.540256,0.079299
0.051020,0.853635,282,101331.144176,5.552933,0.074100
0.051020,0.863729,283,101331.064248,5.564753,0.068892
0.051020,0.873823,284,101330.989978,5.575715,0.063675
0.051020,0.883918,285,101330.921405,5.585820,0.058449
0.051020,0.894012,286,101330.858563,5.595067,0.053212
0.051020,0.904106,287,101330.801483,5.603457,0.047963
0.051020,0.914200,288,101330.750188,5.610991,0.042699
0.051020,0.924294,289,101330.704695,5.617670,0.037418
0.051020,0.934388,290,101330.665003,5.623497,0.032118
0.051020,0.944482,291,101330.631099,5.628477,0.026800
0.051020,0.954576,292,101330.602925,5.632617,0.021448
0.051020,0.964671,293,101330.580469,5.635915,0.016117
0.051020,0.974765,294,101330.563451,5.638401,0.010668
0.051020,0.984859,295,101330.551871,5.635673,0.005274
0.051020,0.994953,296,101330.546256,5.627636,0.001344
0.071429,0.006763,297,101346.330532,2.400517,0.118627
0.071429,0.016847,298,101346.185493,2.459462,0.216393
0.071429,0.026930,299,101346.081177,2.500674,0.220862
0.071429,0.037014,300,101345.963324,2.539425,0.242514
0.071429,0.047098,301,101345.842504,2.578095,0.259055
0.071429,0.057181,302,101345.717212,2.617453,0.274079
0.071429,0.067265,303,101345.587271,2.657581,0.287568
0.071429,0.077348,304,101345.452615,2.698492,0.299672
0.071429,0.087432,305,101345.313205,2.740179,0.310546
0.071429,0.097516,306,101345.169047,2.782618,0.320321
0.071429,0.107599,307,101345.020178,2.825778,0.329110
0.071429,0.117683,308,101344.866654,2.869618,0.337010
0.071429,0.127767,309,101344.708549,2.914095,0.344105
0.071429,0.137850,310,101344.545947,2.959164,0.350466
0.071429,0.147934,311,101344.378941,3.004776,0.356155
0.071429,0.158017,312,101344.207631,3.050885,0.361226
0.071429,0.168101,313,101344.032125,3.097443,0.365724
0.071429,0.178185,314,101343.852533,3.144403,0.369689
0.071429,0.188268,315,101343.668973,3.191718,0.373155
0.071429,0.198352,316,101343.481567,3.239344,0.376153
0.071429,0.208436,317,101343.290442,3.287237,0.378708
0.071429,0.218519,318,101343.095730,3.335353,0.380845
0.071429,0.228603,319,101342.897566,3.383650,0.382582
0.071429,0.238686,320,101342.696093,3.432087,0.383940
0.071429,0.248770,321,101342.491454,3.480624,0.384933
0.071429,0.258854,322,101342.283802,3.529221,0.385578
0.071429,0.268937,323,101342.073291,3.577840,0.385886
0.071429,0.279021,324,101341.860081,3.626444,0.385871
0.071429,0.289105,325,101341.644336,3.674996,0.385544
0.071429,0.299188,326,101341.426223,3.723461,0.384915
0.071429,0.309272,327,101341.205915,3.771803,0.383994
0.071429,0.319355,328,101340.983588,3.819989,0.382791
0.071429,0.329439,329,101340.759422,3.867986,0.381314
0.071429,0.339523,330,101340.533599,3.915762,0.379572
0.071429,0.349606,331,101340.306307,3.963284,0.377574
0.071429,0.359690,332,101340.077733,4.010523,0.375326
0.071429,0.369774,333,101339.848069,4.057449,0.372837
0.071429,0.379857,334,101339.617508,4.104032,0.370115
0.071429,0.389941,335,101339.386246,4.150245,0.367166
0.071429,0.400024,336,101339.154478,4.196060,0.363999
0.071429,0.410108,337,101338.922403,4.241451,0.360621
0.071429,0.420192,338,101338.690219,4.286393,0.357038
0.071429,0.430275,339,101338.458124,4.330860,0.353259
0.071429,0.440359,340,101338.226316,4.374830,0.349290
0.071429,0.450442,341,101337.994994,4.418278,0.345138
0.071429,0.460526,342,101337.764354,4.461184,0.340811
0.071429,0.470610,343,101337.534594,4.503525,0.336315
0.071429,0.480693,344,101337.305906,4.545282,0.331657
0.071429,0.490777,345,101337.078485,4.586434,0.326845
0.071429,0.500861,346,101336.852521,4.626964,0.321885
0.071429,0.510944,347,101336.628201,4.666854,0.316783
0.071429,0.521028,348,101336.405712,4.706087,0.311548
0.071429,0.531111,349,101336.185235,4.744647,0.306184
0.071429,0.541195,350,101335.966950,4.782518,0.300700
0.071429,0.551279,351,101335.751032,4.819686,0.295100
0.071429,0.561362,352,101335.537652,4.856139,0.289392
0.071429,0.571446,353,101335.326979,4.891862,0.283582
0.071429,0.581530,354,101335.119177,4.926845,0.277675
0.071429,0.591613,355,101334.914403,4.961075,0.271678
0.071429,0.601697,356,101334.712814,4.994544,0.265596
0.071429,0.611780,357,101334.514560,5.027240,0.259435
0.071429,0.621864,358,101334.319785,5.059155,0.253200
0.071429,0.631948,359,101334.128632,5.090280,0.246896
0.071429,0.642031,360,101333.941235,5.120608,0.240529
0.071429,0.652115,361,101333.757728,5.150132,0.234103
0.071429,0.662199,362,101333.578235,5.178846,0.227623
0.071429,0.672282,363,101333.402878,5.206742,0.221093
0.071429,0.682366,364,101333.231774,5.233817,0.214517
0.071429,0.692449,365,101333.065036,5.260065,0.207900
0.071429,0.702533,366,101332.902769,5.285482,0.201244
0.071429,0.712617,367,101332.745076,5.310064,0.194555
0.071429,0.722700,368,101332.592055,5.333808,0.187834
0.071429,0.732784,369,101332.443799,5.356710,0.181086
0.071429,0.742868,370,101332.300396,5.378768,0.174312
0.071429,0.752951,371,101332.161930,5.399979,0.167516
0.071429,0.763035,372,101332.028480,5.420342,0.160700
0.071429,0.773118,373,101331.900122,5.439855,0.153866
0.071429,0.783202,374,101331.776927,5.458516,0.147017
0.071429,0.793286,375,101331.658961,5.476325,0.140154
0.071429,0.803369,376,101331.546288,5.493280,0.133278
0.071429,0.813453,377,101331.438968,5.509380,0.126391
0.071429,0.823537,378,101331.337055,5.524625,0.119494
0.071429,0.833620,379,101331.240601,5.539015,0.112588
0.071429,0.843704,380,101331.149655,5.552550,0.105673
0.071429,0.853787,381,101331.064261,5.565229,0.098750
0.071429,0.863871,382,101330.984460,5.577052,0.091818
0.071429,0.873955,383,101330.910288,5.588020,0.084878
0.071429,0.884038,384,101330.841777,5.598134,0.077930
0.071429,0.894122,385,101330.778957,5.607393,0.070972
0.071429,0.904206,386,101330.721848,5.615799,0.064004
0.071429,0.914289,387,101330.670469,5.623354,0.057026
0.071429,0.924373,388,101330.624827,5.630060,0.050035
0.071429,0.934456,389,101330.584923,5.635918,0.043031
0.071429,0.944540,390,101330.550758,5.640930,0.036019
0.071429,0.954624,391,101330.522294,5.645104,0.028973
0.071429,0.964707,392,101330.499597,5.648430,0.021959
0.071429,0.974791,393,101330.482550,5.650922,0.014853
0.071429,0.984875,394,101330.471107,5.646727,0.007769
0.071429,0.994958,395,101330.465569,5.635746,0.002159
0.091837,0.008498,396,101346.469148,2.347945,0.179748
0.091837,0.018564,397,101346.292656,2.415230,0.311868
0.091837,0.028630,398,101346.178699,2.462186,0.303814
0.091837,0.038696,399,101346.044150,2.505489,0.329161
0.091837,0.048762,400,101345.909909,2.547994,0.345605
0.091837,0.058828,401,101345.772113,2.590808,0.361366
0.091837,0.068894,402,101345.630784,2.634051,0.375687
0.091837,0.078960,403,101345.485769,2.677763,0.388699
0.091837,0.089026,404,101345.336918,2.721973,0.400529
0.091837,0.099092,405,101345.184136,2.766688,0.411274
0.091837,0.109158,406,101345.027365,2.811907,0.421022
0.091837,0.119224,407,101344.866574,2.857616,0.429851
0.091837,0.129290,408,101344.701762,2.903795,0.437833
0.091837,0.139356,409,101344.532945,2.950421,0.445027
0.091837,0.149422,410,101344.360158,2.997463,0.451489
0.091837,0.159488,411,101344.183451,3.044891,0.457267
0.091837,0.169554,412,101344.002888,3.092671,0.462403
0.091837,0.179620,413,101343.818543,3.140768,0.466934
0.091837,0.189686,414,101343.630502,3.189145,0.470894
0.091837,0.199752,415,101343.438860,3.237767,0.474312
0.091837,0.209818,416,101343.243719,3.286596,0.477214
0.091837,0.219884,417,101343.045192,3.335596,0.479623
0.091837,0.229950,418,101342.843398,3.384730,0.481561
0.091837,0.240016,419,101342.638462,3.433961,0.483046
0.091837,0.250082,420,101342.430519,3.483254,0.484095
0.091837,0.260148,421,101342.219707,3.532572,0.484724
0.091837,0.270214,422,101342.006173,3.581880,0.484949
0.091837,0.280280,423,101341.790068,3.631143,0.484781
0.091837,0.290346,424,101341.571550,3.680327,0.484233
0.091837,0.300412,425,101341.350780,3.729398,0.483318
0.091837,0.310478,426,101341.127927,3.778322,0.482046
0.091837,0.320544,427,101340.903161,3.827067,0.480428
0.091837,0.330610,428,101340.676660,3.875601,0.478474
0.091837,0.340676,429,101340.448603,3.923892,0.476194
0.091837,0.350742,430,101340.219174,3.971911,0.473598
0.091837,0.360808,431,101339.988559,4.019626,0.470695
0.091837,0.370874,432,101339.756949,4.067009,0.467494
0.091837,0.380940,433,101339.524534,4.114031,0.464005
0.091837,0.391006,434,101339.291510,4.160665,0.460237
0.091837,0.401072,435,101339.058070,4.206883,0.456198
0.091837,0.411138,436,101338.824411,4.252660,0.451898
0.091837,0.421204,437,101338.590730,4.297970,0.447345
0.091837,0.431271,438,101338.357225,4.342789,0.442549
0.091837,0.441337,439,101338.124094,4.387093,0.437518
0.091837,0.451403,440,101337.891532,4.430860,0.432260
0.091837,0.461469,441,101337.659736,4.474068,0.426786
0.091837,0.471535,442,101337.428901,4.516696,0.421103
0.091837,0.481601,443,101337.199220,4.558724,0.415220
0.091837,0.491667,444,101336.970885,4.600133,0.409145
0.091837,0.501733,445,101336.744085,4.640904,0.402888
0.091837,0.511799,446,101336.519007,4.681019,0.396457
0.091837,0.521865,447,101336.295833,4.720463,0.389859
0.091837,0.531931,448,101336.074746,4.759220,0.383104
