x,y
0.234694,0.091438
0.234694,0.101260
0.234694,0.111082
0.234694,0.120904
0.234694,0.130727
0.234694,0.140549
0.234694,0.150371
0.234694,0.160194
0.234694,0.170016
0.234694,0.179838
0.234694,0.189661
0.234694,0.199483
0.234694,0.209305
0.234694,0.219127
0.234694,0.228950
0.234694,0.238772
0.234694,0.248594
0.234694,0.258417
0.234694,0.268239
0.234694,0.278061
0.234694,0.287884
0.234694,0.297706
0.234694,0.307528
0.234694,0.317350
0.234694,0.327173
0.234694,0.336995
0.234694,0.346817
0.234694,0.356640
0.234694,0.366462
0.234694,0.376284
0.234694,0.386106
0.234694,0.395929
0.234694,0.405751
0.234694,0.415573
0.234694,0.425396
0.234694,0.435218
0.234694,0.445040
0.234694,0.454863
0.234694,0.464685
0.234694,0.474507
0.234694,0.484329
0.234694,0.494152
0.234694,0.503974
0.234694,0.513796
0.234694,0.523619
0.234694,0.533441
0.234694,0.543263
0.234694,0.553086
0.234694,0.562908
0.234694,0.572730
0.234694,0.582552
0.234694,0.592375
0.234694,0.602197
0.234694,0.612019
0.234694,0.621842
0.234694,0.631664
0.234694,0.641486
0.234694,0.651308
0.234694,0.661131
0.234694,0.670953
0.234694,0.680775
0.234694,0.690598
0.234694,0.700420
0.234694,0.710242
0.234694,0.720065
0.234694,0.729887
0.234694,0.739709
0.234694,0.749531
0.234694,0.759354
0.234694,0.769176
0.234694,0.778998
0.234694,0.788821
0.234694,0.798643
0.234694,0.808465
0.234694,0.818288
0.234694,0.828110
0.234694,0.837932
0.234694,0.847754
0.234694,0.857577
0.234694,0.867399
0.234694,0.877221
0.234694,0.887044
0.234694,0.896866
0.234694,0.906688
0.234694,0.916510
0.234694,0.926333
0.234694,0.936155
0.234694,0.945977
0.234694,0.955800
0.234694,0.965622
0.234694,0.975444
0.234694,0.985267
0.234694,0.995089
0.255102,0.037476
0.255102,0.047248
0.255102,0.057020
0.255102,0.066792
0.255102,0.076564
0.255102,0.086336
0.255102,0.096107
0.255102,0.105879
0.255102,0.115651
0.255102,0.125423
0.255102,0.135195
0.255102,0.144966
0.255102,0.154738
0.255102,0.164510
0.255102,0.174282
0.255102,0.184054
0.255102,0.193825
0.255102,0.203597
0.255102,0.213369
0.255102,0.223141
0.255102,0.232913
0.255102,0.242685
0.255102,0.252456
0.255102,0.262228
0.255102,0.272000
0.255102,0.281772
0.255102,0.291544
0.255102,0.301315
0.255102,0.311087
0.255102,0.320859
0.255102,0.330631
0.255102,0.340403
0.255102,0.350174
0.255102,0.359946
0.255102,0.369718
0.255102,0.379490
0.255102,0.389262
0.255102,0.399034
0.255102,0.408805
0.255102,0.418577
0.255102,0.428349
0.255102,0.438121
0.255102,0.447893
0.255102,0.457664
0.255102,0.467436
0.255102,0.477208
0.255102,0.486980
0.255102,0.496752
0.255102,0.506523
0.255102,0.516295
0.255102,0.526067
0.255102,0.535839
0.255102,0.545611
0.255102,0.555383
0.255102,0.565154
0.255102,0.574926
0.255102,0.584698
0.255102,0.594470
0.255102,0.604242
0.255102,0.614013
0.255102,0.623785
0.255102,0.633557
0.255102,0.643329
0.255102,0.653101
0.255102,0.662872
0.255102,0.672644
0.255102,0.682416
0.255102,0.692188
0.255102,0.701960
0.255102,0.711732
0.255102,0.721503
0.255102,0.731275
0.255102,0.741047
0.255102,0.750819
0.255102,0.760591
0.255102,0.770362
