x,y
0.183673,0.910624
0.183673,0.920555
0.183673,0.930486
0.183673,0.940416
0.183673,0.950347
0.183673,0.960277
0.183673,0.970208
0.183673,0.980139
0.183673,0.990069
0.183673,1.000000
0.204082,0.020825
0.204082,0.030715
0.204082,0.040606
0.204082,0.050497
0.204082,0.060387
0.204082,0.070278
0.204082,0.080169
0.204082,0.090059
0.204082,0.099950
0.204082,0.109841
0.204082,0.119731
0.204082,0.129622
0.204082,0.139513
0.204082,0.149403
0.204082,0.159294
0.204082,0.169185
0.204082,0.179075
0.204082,0.188966
0.204082,0.198857
0.204082,0.208747
0.204082,0.218638
0.204082,0.228529
0.204082,0.238419
0.204082,0.248310
0.204082,0.258200
0.204082,0.268091
0.204082,0.277982
0.204082,0.287872
0.204082,0.297763
0.204082,0.307654
0.204082,0.317544
0.204082,0.327435
0.204082,0.337326
0.204082,0.347216
0.204082,0.357107
0.204082,0.366998
0.204082,0.376888
0.204082,0.386779
0.204082,0.396670
0.204082,0.406560
0.204082,0.416451
0.204082,0.426342
0.204082,0.436232
0.204082,0.446123
0.204082,0.456014
0.204082,0.465904
0.204082,0.475795
0.204082,0.485686
0.204082,0.495576
0.204082,0.505467
0.204082,0.515358
0.204082,0.525248
0.204082,0.535139
0.204082,0.545030
0.204082,0.554920
0.204082,0.564811
0.204082,0.574702
0.204082,0.584592
0.204082,0.594483
0.204082,0.604374
0.204082,0.614264
0.204082,0.624155
0.204082,0.634046
0.204082,0.643936
0.204082,0.653827
0.204082,0.663718
0.204082,0.673608
0.204082,0.683499
0.204082,0.693390
0.204082,0.703280
0.204082,0.713171
0.204082,0.723062
0.204082,0.732952
0.204082,0.742843
0.204082,0.752733
0.204082,0.762624
0.204082,0.772515
0.204082,0.782405
0.204082,0.792296
0.204082,0.802187
0.204082,0.812077
0.204082,0.821968
0.204082,0.831859
0.204082,0.841749
0.204082,0.851640
0.204082,0.861531
0.204082,0.871421
0.204082,0.881312
0.204082,0.891203
0.204082,0.901093
0.204082,0.910984
0.204082,0.920875
0.204082,0.930765
0.204082,0.940656
0.204082,0.950547
0.204082,0.960437
0.204082,0.970328
0.204082,0.980219
0.204082,0.990109
0.204082,1.000000
0.224490,0.025198
0.224490,0.035044
0.224490,0.044891
0.224490,0.054737
0.224490,0.064584
0.224490,0.074430
0.224490,0.084277
0.224490,0.094123
0.224490,0.103970
0.224490,0.113816
0.224490,0.123663
0.224490,0.133509
0.224490,0.143356
0.224490,0.153202
0.224490,0.163049
0.224490,0.172895
0.224490,0.182742
0.224490,0.192588
0.224490,0.202435
0.224490,0.212281
0.224490,0.222128
0.224490,0.231974
0.224490,0.241821
0.224490,0.251667
0.224490,0.261514
0.224490,0.271360
0.224490,0.281206
0.224490,0.291053
0.224490,0.300899
0.224490,0.310746
0.224490,0.320592
0.224490,0.330439
0.224490,0.340285
0.224490,0.350132
0.224490,0.359978
0.224490,0.369825
0.224490,0.379671
0.224490,0.389518
0.224490,0.399364
0.224490,0.409211
0.224490,0.419057
0.224490,0.428904
0.224490,0.438750
0.224490,0.448597
0.224490,0.458443
0.224490,0.468290
0.224490,0.478136
0.224490,0.487983
0.224490,0.497829
0.224490,0.507676
0.224490,0.517522
0.224490,0.527369
0.224490,0.537215
0.224490,0.547062
0.224490,0.556908
0.224490,0.566755
0.224490,0.576601
0.224490,0.586448
0.224490,0.596294
0.224490,0.606141
0.224490,0.615987
0.224490,0.625834
0.224490,0.635680
0.224490,0.645526
0.224490,0.655373
0.224490,0.665219
0.224490,0.675066
0.224490,0.684912
0.224490,0.694759
0.224490,0.704605
0.224490,0.714452
0.224490,0.724298
0.224490,0.734145
0.224490,0.743991
0.224490,0.753838
0.224490,0.763684
0.224490,0.773531
0.224490,0.783377
0.224490,0.793224
0.224490,0.803070
0.224490,0.812917
0.224490,0.822763
0.224490,0.832610
0.224490,0.842456
0.224490,0.852303
0.224490,0.862149
0.224490,0.871996
0.224490,0.881842
0.224490,0.891689
0.224490,0.901535
0.224490,0.911382
0.224490,0.921228
0.224490,0.931075
0.224490,0.940921
0.224490,0.950768
0.224490,0.960614
0.224490,0.970461
0.224490,0.980307
0.224490,0.990154
0.224490,1.000000
0.244898,0.029988
0.244898,0.039786
0.244898,0.049584
0.244898,0.059382
0.244898,0.069180
0.244898,0.078978
0.244898,0.088776
0.244898,0.098574
0.244898,0.108372
0.244898,0.118170
0.244898,0.127969
0.244898,0.137767
