x,y,cell_number,p_stat, vel_u, vel_v
0.051020,0.934432,290,101335.314022,4.899897,0.019484
0.051020,0.944520,291,101335.295878,4.902964,0.016118
0.051020,0.954607,292,101335.280831,4.905512,0.012714
0.051020,0.964694,293,101335.268871,4.907535,0.009327
0.051020,0.974782,294,101335.259746,4.909063,0.005814
0.051020,0.984869,295,101335.253464,4.905675,0.002361
0.051020,0.994956,296,101335.250479,4.897323,0.000374
0.071429,0.007640,297,101344.604168,2.945271,0.143459
0.071429,0.017715,298,101344.445579,2.996664,0.241199
0.071429,0.027790,299,101344.356407,3.027524,0.212386
0.071429,0.037865,300,101344.243805,3.057648,0.222460
0.071429,0.047939,301,101344.136311,3.086186,0.222275
0.071429,0.058014,302,101344.027074,3.114983,0.223975
0.071429,0.068089,303,101343.917234,3.143679,0.225144
0.071429,0.078163,304,101343.806487,3.172368,0.226204
0.071429,0.088238,305,101343.694791,3.201049,0.227100
0.071429,0.098313,306,101343.582097,3.229734,0.227852
0.071429,0.108388,307,101343.468381,3.258425,0.228467
0.071429,0.118462,308,101343.353638,3.287123,0.228956
0.071429,0.128537,309,101343.237874,3.315825,0.229325
0.071429,0.138612,310,101343.121105,3.344528,0.229583
0.071429,0.148686,311,101343.003354,3.373227,0.229736
0.071429,0.158761,312,101342.884650,3.401915,0.229788
0.071429,0.168836,313,101342.765026,3.430585,0.229745
0.071429,0.178911,314,101342.644517,3.459230,0.229611
0.071429,0.188985,315,101342.523161,3.487840,0.229387
0.071429,0.199060,316,101342.401000,3.516409,0.229078
0.071429,0.209135,317,101342.278077,3.544926,0.228685
0.071429,0.219209,318,101342.154434,3.573385,0.228209
0.071429,0.229284,319,101342.030119,3.601774,0.227653
0.071429,0.239359,320,101341.905178,3.630088,0.227017
0.071429,0.249434,321,101341.779661,3.658314,0.226303
0.071429,0.259508,322,101341.653617,3.686446,0.225511
0.071429,0.269583,323,101341.527098,3.714473,0.224641
0.071429,0.279658,324,101341.400156,3.742388,0.223695
0.071429,0.289732,325,101341.272846,3.770178,0.222672
0.071429,0.299807,326,101341.145222,3.797838,0.221573
0.071429,0.309882,327,101341.017342,3.825356,0.220398
0.071429,0.319957,328,101340.889262,3.852725,0.219148
0.071429,0.330031,329,101340.761042,3.879933,0.217822
0.071429,0.340106,330,101340.632742,3.906973,0.216422
0.071429,0.350181,331,101340.504422,3.933834,0.214946
0.071429,0.360256,332,101340.376144,3.960509,0.213396
0.071429,0.370330,333,101340.247971,3.986986,0.211772
0.071429,0.380405,334,101340.119968,4.013258,0.210074
0.071429,0.390480,335,101339.992199,4.039314,0.208302
0.071429,0.400554,336,101339.864729,4.065147,0.206457
0.071429,0.410629,337,101339.737626,4.090746,0.204539
0.071429,0.420704,338,101339.610955,4.116103,0.202548
0.071429,0.430779,339,101339.484785,4.141208,0.200485
0.071429,0.440853,340,101339.359184,4.166053,0.198350
0.071429,0.450928,341,101339.234222,4.190627,0.196145
0.071429,0.461003,342,101339.109966,4.214925,0.193869
0.071429,0.471077,343,101338.986487,4.238934,0.191523
0.071429,0.481152,344,101338.863854,4.262648,0.189108
0.071429,0.491227,345,101338.742138,4.286057,0.186625
0.071429,0.501302,346,101338.621409,4.309153,0.184074
0.071429,0.511376,347,101338.501737,4.331927,0.181457
0.071429,0.521451,348,101338.383193,4.354372,0.178773
0.071429,0.531526,349,101338.265846,4.376478,0.176025
0.071429,0.541600,350,101338.149767,4.398239,0.173212
0.071429,0.551675,351,101338.035026,4.419645,0.170336
0.071429,0.561750,352,101337.921691,4.440690,0.167399
0.071429,0.571825,353,101337.809833,4.461364,0.164400
0.071429,0.581899,354,101337.699518,4.481662,0.161342
0.071429,0.591974,355,101337.590817,4.501574,0.158225
0.071429,0.602049,356,101337.483794,4.521096,0.155051
0.071429,0.612123,357,101337.378519,4.540217,0.151820
0.071429,0.622198,358,101337.275056,4.558933,0.148534
0.071429,0.632273,359,101337.173470,4.577235,0.145194
0.071429,0.642348,360,101337.073826,4.595119,0.141802
0.071429,0.652422,361,101336.976186,4.612576,0.138359
0.071429,0.662497,362,101336.880613,4.629601,0.134865
0.071429,0.672572,363,101336.787168,4.646188,0.131323
0.071429,0.682646,364,101336.695910,4.662330,0.127734
0.071429,0.692721,365,101336.606899,4.678022,0.124099
0.071429,0.702796,366,101336.520191,4.693259,0.120419
0.071429,0.712871,367,101336.435843,4.708034,0.116696
0.071429,0.722945,368,101336.353909,4.722344,0.112931
0.071429,0.733020,369,101336.274443,4.736181,0.109126
0.071429,0.743095,370,101336.197495,4.749542,0.105281
0.071429,0.753169,371,101336.123118,4.762422,0.101398
0.071429,0.763244,372,101336.051358,4.774816,0.097479
0.071429,0.773319,373,101335.982264,4.786720,0.093524
0.071429,0.783394,374,101335.915881,4.798131,0.089535
0.071429,0.793468,375,101335.852253,4.809043,0.085513
0.071429,0.803543,376,101335.791422,4.819453,0.081459
0.071429,0.813618,377,101335.733429,4.829357,0.077375
0.071429,0.823692,378,101335.678311,4.838753,0.073261
0.071429,0.833767,379,101335.626107,4.847636,0.069117
0.071429,0.843842,380,101335.576850,4.856004,0.064947
0.071429,0.853917,381,101335.530574,4.863854,0.060748
0.071429,0.863991,382,101335.487309,4.871183,0.056524
0.071429,0.874066,383,101335.447083,4.877989,0.052274
0.071429,0.884141,384,101335.409920,4.884271,0.047998
0.071429,0.894215,385,101335.375844,4.890026,0.043697
0.071429,0.904290,386,101335.344870,4.895253,0.039371
0.071429,0.914365,387,101335.317012,4.899952,0.035021
0.071429,0.924440,388,101335.292277,4.904123,0.030646
0.071429,0.934514,389,101335.270665,4.907767,0.026247
0.071429,0.944589,390,101335.252175,4.910883,0.021830
0.071429,0.954664,391,101335.236774,4.913477,0.017371
0.071429,0.964738,392,101335.224523,4.915539,0.012939
0.071429,0.974813,393,101335.215310,4.917076,0.008405
0.071429,0.984888,394,101335.209103,4.912210,0.003899
0.071429,0.994963,395,101335.206164,4.900915,0.000871
0.091837,0.009298,396,101344.590268,2.941803,0.189526
0.091837,0.019356,397,101344.425350,2.995487,0.309239
0.091837,0.029414,398,101344.341985,3.027645,0.267229
0.091837,0.039472,399,101344.225064,3.058353,0.283022
0.091837,0.049530,400,101344.117600,3.086969,0.280731
0.091837,0.059587,401,101344.006814,3.116077,0.282827
0.091837,0.069645,402,101343.895710,3.145032,0.283803
0.091837,0.079703,403,101343.783637,3.173992,0.284815
0.091837,0.089761,404,101343.670670,3.202936,0.285658
0.091837,0.099819,405,101343.556768,3.231869,0.286371
0.091837,0.109877,406,101343.441919,3.260797,0.286953
0.091837,0.119935,407,101343.326117,3.289716,0.287409
0.091837,0.129993,408,101343.209364,3.318628,0.287745
0.091837,0.140051,409,101343.091670,3.347526,0.287963
0.091837,0.150108,410,101342.973051,3.376410,0.288067
0.091837,0.160166,411,101342.853530,3.405272,0.288061
0.091837,0.170224,412,101342.733132,3.434108,0.287948
0.091837,0.180282,413,101342.611887,3.462911,0.287729
0.091837,0.190340,414,101342.489828,3.491674,0.287407
0.091837,0.200398,415,101342.366993,3.520388,0.286984
0.091837,0.210456,416,101342.243419,3.549049,0.286461
0.091837,0.220514,417,101342.119149,3.577645,0.285840
0.091837,0.230572,418,101341.994224,3.606170,0.285121
0.091837,0.240629,419,101341.868691,3.634615,0.284306
0.091837,0.250687,420,101341.742595,3.662972,0.283394
0.091837,0.260745,421,101341.615986,3.691230,0.282387
0.091837,0.270803,422,101341.488913,3.719384,0.281285
0.091837,0.280861,423,101341.361429,3.747422,0.280088
0.091837,0.290919,424,101341.233586,3.775336,0.278797
0.091837,0.300977,425,101341.105440,3.803117,0.277411
0.091837,0.311035,426,101340.977045,3.830757,0.275932
0.091837,0.321093,427,101340.848460,3.858244,0.274358
0.091837,0.331150,428,101340.719741,3.885571,0.272691
0.091837,0.341208,429,101340.590951,3.912728,0.270931
0.091837,0.351266,430,101340.462148,3.939707,0.269077
